mapped_dimension,question_id,question_text,request_id,response_type,score
Friction Index,MCB_Q14_INCONSISTENCY,I experienced product inconsistency across repeat purchases of the same brand,P1_CONSISTENCY,Likert,115.0
Friction Index,MCB_Q13_MISMATCH,How much do you agree with this statement? “I was disappointed with my cannabis purchase because the product didn’t meet my expectations,P1_CONSISTENCY,Likert,110.0
Expectation Alignment Index,MCB_Q07_EXPECTED_OUTCOME,How much do you agree with this statement “I usually know what to expect before buying a trying a new product“,P1_CONSISTENCY,Likert,109.0
Experience Quality Index,MCB_Q10_INTENT_MET,"Overall, the product experience matched what you were looking for.",P1_CONSISTENCY,Likert,109.0
Experience Quality Index,MCB_Q11_EXPERIENCE_QUALITY,"Overall, the quality of the experience felt:",P1_CONSISTENCY,Likert,108.0
Recommendation Confidence Index,MCB_Q16_REPEAT,How likely are you to repurchase cannabis products you enjoy?,P1_CONSISTENCY,Likert,107.0
Repeat Purchase Index,CTB_Q12_REPEAT_BRAND_BEHAVIOR,How often do you purchase or recommend products from the same brand more than once?,P1_CONSISTENCY,Single-select,10.0
Experience Quality Index,MCB_Q12_EMOTIONAL_RESIDUE,"After using the product, you felt:",P1_CONSISTENCY,Single choice,9.0
Influence Driver Index,CIB_Q08_FACTORS_INFLUENCE_1_5,"On a scale of 1 to 5, how influential are the following factors to your customers when selecting products?",P1_CONSISTENCY,Grid,5.0
,CIB_Q14_TOP_SHELF_CONTINUATION,"On a scale of 1 to 5, how likely is a customer who has tried a high-quality product going to continue purchasing top shelf?",P1_CONSISTENCY,Single-select,5.0
Experience Expectation Index,CTB_Q23_FIRST_IMPRESSION_FACTORS,"When you try a product for the first time, what matters most in your initial impression?",P1_CONSISTENCY,Multi-select (max 3),5.0
Trial Trigger Index,IMB_Q04_BIGGEST_IMPACT_TRY_NEW,"In your opinion, what has the biggest impact on a customer’s decision to try a new brand or product?",P1_CONSISTENCY,Single-select,5.0
Recommendation Confidence Index,MCB_Q17_RECOMMEND,How likely are you to recommend a product you enjoyed to others?,P2_AWARENESS_GAP,Likert,109.0
Recommendation Confidence Index,MCB_Q18_CONFIDENCE,How much do you agree with this statement? “I usually feel confident knowing who a product would be right for./ recommending a product to someone”,P2_AWARENESS_GAP,Likert,109.0
Recommendation Conversion Index,CIB_Q05_RECOMMENDATION_CONVERSION_10,"Out of every 10 customers you speak to, how many would you say leave the store having purchased your recommendation?",P2_AWARENESS_GAP,Single-select,109.0
Recommendation Influence Index,CTB_Q02_BUDTENDER_INFLUENCE,How much do budtender recommendations influence your final purchase decision?,P2_AWARENESS_GAP,Single-select,108.0
Brand Awareness Index,CTB_Q08_BRAND_FAMILIARITY,How familiar are you with cannabis brands currently available in your province?,P2_AWARENESS_GAP,Single-select,108.0
Brand Weight Index,CTB_Q09_BRAND_INFLUENCE,"When choosing a cannabis product, how much does brand name influence your decision?",P2_AWARENESS_GAP,Single-select,108.0
Loyalty Strength Index,CTB_Q14_BRAND_LOYALTY_LEVEL,How would you describe your overall level of brand loyalty in cannabis?,P2_AWARENESS_GAP,Single-select,102.0
Brand Trust Drivers,CTB_Q10_BRAND_TRUST_FACTORS,Which of the following factors make you trust a cannabis brand?,P2_AWARENESS_GAP,Multi-select (max 3),10.0
Brand Trust Index,MCB_Q19_BRAND_TRUST,“I am more likely to purchase a brand I trust”,P2_AWARENESS_GAP,Likert,9.0
Brand Trust Index,MCB_Q20_OVERPROMISE,Some brands feel like they promise more than they deliver.,P2_AWARENESS_GAP,Likert,8.0
Recommendation Criteria Index,CIB_Q09_RECOMMEND_ATTRIBUTES_IMPORTANCE,How important are each of these attributes when determining the right product to recommend to a customer?,P2_AWARENESS_GAP,Grid,6.0
Loyalty Levers Index,CTB_Q15_INCREASE_LOYALTY,Which of the following would most increase your loyalty or trust in a brand?,P2_AWARENESS_GAP,Single-select,6.0
Recommendation Confidence Index,MCB_Q18_CONFIDENCE,How much do you agree with this statement? “I usually feel confident knowing who a product would be right for./ recommending a product to someone”,P3_BT_CONFIDENCE,Likert,114.0
Expectation Alignment Index,MCB_Q09_CONFIDENCE,"At the time of purchase, how confident do you usually feel in your choice?",P3_BT_CONFIDENCE,Likert,110.0
Recommendation Conversion Index,CIB_Q05_RECOMMENDATION_CONVERSION_10,"Out of every 10 customers you speak to, how many would you say leave the store having purchased your recommendation?",P3_BT_CONFIDENCE,Single-select,107.0
Onboarding Readiness Index,REB_Q01_ROLE_PREPAREDNESS,"When starting a new role in cannabis retail, how well do you typically feel prepared?",P3_BT_CONFIDENCE,Single-select,104.0
Education Trust Index,REB_Q06_EDU_SOURCE_EFFECTIVENESS,How effective do you find education from the following groups?,P3_BT_CONFIDENCE,Grid (single-select per row),102.0
Recommendation Depth Index,CIB_Q04_RECS_PER_DECISION,"On average, how many recommendations do you provide to a customer before they make a purchasing decision?",P3_BT_CONFIDENCE,Single-select,101.0
Training Exposure Index,REB_Q07_CURRENT_TRAINING_FREQ,How often do you currently receive formal education or training related to cannabis retail?,P3_BT_CONFIDENCE,Single-select,101.0
Recommendation Confidence Index,MCB_Q17_RECOMMEND,How likely are you to recommend a product you enjoyed to others?,P3_BT_CONFIDENCE,Likert,12.0
Brand Trust Drivers,CTB_Q10_BRAND_TRUST_FACTORS,Which of the following factors make you trust a cannabis brand?,P3_BT_CONFIDENCE,Multi-select (max 3),10.0
Brand Trust Index,MCB_Q19_BRAND_TRUST,“I am more likely to purchase a brand I trust”,P3_BT_CONFIDENCE,Likert,7.0
Brand Trust Index,MCB_Q20_OVERPROMISE,Some brands feel like they promise more than they deliver.,P3_BT_CONFIDENCE,Likert,6.0
Qualitative Insight,MCB_Q24_OPEN_REFLECTION,"In the past month, is there anything you've noticed or become more aware of regarding your choices of cannabis products (such as types/formats, strains, potency, sources, brands, or amounts)?",P3_BT_CONFIDENCE,Open text,6.0
Brand Trust Drivers,CTB_Q10_BRAND_TRUST_FACTORS,Which of the following factors make you trust a cannabis brand?,P4_BRAND_INTERPRETED,Multi-select (max 3),8.0
Qualitative Insight,MCB_Q24_OPEN_REFLECTION,"In the past month, is there anything you've noticed or become more aware of regarding your choices of cannabis products (such as types/formats, strains, potency, sources, brands, or amounts)?",P4_BRAND_INTERPRETED,Open text,7.0
Brand Meaning Index,CTB_Q13_BRAND_ASSOCIATIONS,"Thinking about your preferred cannabis brand(s), what do you associate most strongly with them?",P4_BRAND_INTERPRETED,Multi-select (max 3),7.0
Expectation Alignment Index,MCB_Q08_EXPECT_SOURCE,Your expectations are most often shaped by:,P4_BRAND_INTERPRETED,Single choice,5.0
Interaction Coverage Index,CIB_Q01_PCT_INTERACT,"On a typical day, of all the customers that walk into the store, what is the percentage (%) of people you interact with?",P4_BRAND_INTERPRETED,Numeric entry,4.0
Future Reliance Signal,CTB_Q06_ASK_HELP_FUTURE,How likely are you to ask for a budtender’s help in the future?,P4_BRAND_INTERPRETED,Single-select,4.0
Brand Awareness Index,CTB_Q08_BRAND_FAMILIARITY,How familiar are you with cannabis brands currently available in your province?,P4_BRAND_INTERPRETED,Single-select,4.0
Loyalty Strength Index,CTB_Q14_BRAND_LOYALTY_LEVEL,How would you describe your overall level of brand loyalty in cannabis?,P4_BRAND_INTERPRETED,Single-select,4.0
Brand Empathy Index,CTB_Q16_BRANDS_UNDERSTAND_YOU,How much do you feel cannabis brands understand the needs and perspectives of people like you?,P4_BRAND_INTERPRETED,Single-select,4.0
Purchase Frequency Index,CTB_Q19_SHOP_FREQUENCY,How often do you shop for cannabis products (in-store or online)?,P4_BRAND_INTERPRETED,Single-select,4.0
Qualitative CX Insight,CTB_Q27_IMPROVE_EXPERIENCE_OPEN,"Looking at your overall shopping experience, what’s one thing cannabis retailers or brands could do to make it better for you?",P4_BRAND_INTERPRETED,Open text,4.0
Training Exposure Index,REB_Q07_CURRENT_TRAINING_FREQ,How often do you currently receive formal education or training related to cannabis retail?,P5_NO_SHARED_LANGUAGE,Single-select,9.0
Friction Index,MCB_Q14_INCONSISTENCY,I experienced product inconsistency across repeat purchases of the same brand,P5_NO_SHARED_LANGUAGE,Likert,8.0
Onboarding Readiness Index,REB_Q01_ROLE_PREPAREDNESS,"When starting a new role in cannabis retail, how well do you typically feel prepared?",P5_NO_SHARED_LANGUAGE,Single-select,8.0
Brand Trust Drivers,CTB_Q10_BRAND_TRUST_FACTORS,Which of the following factors make you trust a cannabis brand?,P5_NO_SHARED_LANGUAGE,Multi-select (max 3),7.0
Expectation Alignment Index,MCB_Q08_EXPECT_SOURCE,Your expectations are most often shaped by:,P5_NO_SHARED_LANGUAGE,Single choice,6.0
Qualitative Insight,MCB_Q24_OPEN_REFLECTION,"In the past month, is there anything you've noticed or become more aware of regarding your choices of cannabis products (such as types/formats, strains, potency, sources, brands, or amounts)?",P5_NO_SHARED_LANGUAGE,Open text,6.0
Skill Development Index,PDB_Q03_SKILLS_TO_DEVELOP,What types of professional topics or skills would you most like to develop?,P5_NO_SHARED_LANGUAGE,Multi-select (max 3),6.0
Influence Driver Index,CIB_Q08_FACTORS_INFLUENCE_1_5,"On a scale of 1 to 5, how influential are the following factors to your customers when selecting products?",P5_NO_SHARED_LANGUAGE,Grid,6.0
Brand Meaning Index,CTB_Q13_BRAND_ASSOCIATIONS,"Thinking about your preferred cannabis brand(s), what do you associate most strongly with them?",P5_NO_SHARED_LANGUAGE,Multi-select (max 3),6.0
Use Pattern Context,PRB_Q01_FREQUENCY,"In the past 30 days, how often did you use cannabis?",P5_NO_SHARED_LANGUAGE,Single choice,5.0
Recommendation Confidence Index,MCB_Q16_REPEAT,How likely are you to repurchase cannabis products you enjoy?,P5_NO_SHARED_LANGUAGE,Likert,5.0
Education Adoption Signal,PDB_Q06_MICROLEARNING_LIKELIHOOD,"How likely are you to participate in BTA micro-learning courses (short modules, quizzes, or certification badges)?",P5_NO_SHARED_LANGUAGE,Single-select,5.0
